name,price,capacity,price_per_gb,type,cache,form_factor,interface
Kingston SSDNow E100,0.0,200.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
Crucial MX200,0.0,500.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
Western Digital Blue,0.0,4000.0,0.0,Unknown,64.0,3.5,SATA 6.0 Gb/s
Corsair Force LE,0.0,240.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
Seagate IronWolf Pro,0.0,8000.0,0.0,7200,256.0,3.5,SATA 6.0 Gb/s
Corsair Force MP500,0.0,120.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Intel 545s,0.0,512.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
TEAMGROUP L3 EVO,0.0,240.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
Gigabyte GP-GSM2NE8256GNTD,0.0,256.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X2
Inland Professional,0.0,1000.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X2
Seagate BarraCuda 120,0.0,250.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
Enmotus FuzeDrive,0.0,900.0,0.0,SSD,24576.0,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP T-Force Cardea II TUF Gaming Alliance,0.0,1000.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Seagate Exos X16,0.0,16000.0,0.0,7200,256.0,3.5,SATA 6.0 Gb/s
Netac NV2000,0.0,256.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP T-FORCE G70 PRO Graphene,0.0,512.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Klevv CRAS 910 Lite,0.0,500.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Mushkin ELEMENT,182.99,2000.0,0.091,SSD,0.0,2.5,SATA 6.0 Gb/s
Seagate SkyHawk AI,299.99,16000.0,0.019,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Gold,419.99,20000.0,0.021,7200,512.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda Pro Compute,28.73,500.0,0.057,7200,128.0,2.5,SATA 6.0 Gb/s
Sabrent Rocket 4.0,99.99,1000.0,0.1,SSD,0.0,M.2-2230,M.2 PCIe 4.0 X4
MSI SPATIUM M470,0.0,2000.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Crucial MX200,397.77,500.0,0.796,SSD,0.0,M.2-2260,M.2 SATA
Toshiba N300 Pro,238.44,10000.0,0.024,7200,512.0,3.5,SATA 6.0 Gb/s
Intel DC P3600,489.74,400.0,1.224,SSD,0.0,PCIe,PCIe x4
Western Digital Purple,289.98,12000.0,0.024,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Black,0.0,8000.0,0.0,7200,256.0,3.5,SATA 6.0 Gb/s
Gigabyte M30,68.88,512.0,0.135,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Seagate Constellation ES.2,0.0,3000.0,0.0,7200,64.0,3.5,SATA 6.0 Gb/s
Western Digital Blue SN500,88.98,250.0,0.356,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X2
Seagate Exos 7E10 512n,197.0,6000.0,0.033,7200,256.0,3.5,SATA 6.0 Gb/s
Toshiba S300,89.99,1000.0,0.09,5700,64.0,3.5,SATA 6.0 Gb/s
Western Digital Caviar Blue,0.0,160.0,0.0,7200,8.0,3.5,SATA 3.0 Gb/s
Samsung Spinpoint F2 EG,0.0,500.0,0.0,5400,16.0,3.5,SATA 3.0 Gb/s
Seagate Barracuda LP,118.77,2000.0,0.059,5900,32.0,3.5,SATA 3.0 Gb/s
Samsung 840,0.0,120.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
Intel 530,199.0,240.0,0.829,SSD,0.0,2.5,SATA 6.0 Gb/s
Crucial MX100,0.0,128.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
Seagate Surveillance HDD,0.0,6000.0,0.0,5400,128.0,3.5,SATA 6.0 Gb/s
SanDisk SSD PLUS,0.0,240.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
Intel 750,0.0,800.0,0.0,SSD,0.0,PCIe,PCIe x4
SanDisk Z400s,0.0,128.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
Micron M600,0.0,1000.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
Toshiba OCZ TR200,110.0,480.0,0.229,SSD,0.0,2.5,SATA 6.0 Gb/s
Intel Optane 905P,0.0,960.0,0.0,SSD,0.0,PCIe,PCIe x4
Silicon Power P34A80,0.0,1000.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Transcend 220S,44.83,256.0,0.175,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
KIOXIA EXCERIA,0.0,240.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
Netac NV7000,100.99,1000.0,0.101,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Netac NV7000-t,68.98,512.0,0.135,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate SkyHawk Surveillance +Rescue,179.99,8000.0,0.022,5400,256.0,3.5,SATA 6.0 Gb/s
Toshiba N300,189.99,10000.0,0.019,7200,256.0,3.5,SATA 6.0 Gb/s
TEAMGROUP T-Create Classic,0.0,1000.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate Game Drive,107.53,1000.0,0.108,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate FireCuda,89.0,500.0,0.178,Unknown,0.0,2.5,SATA 6.0 Gb/s
HP EX950,179.99,2000.0,0.09,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
ADATA Falcon,0.0,512.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Transcend 220S,97.16,1000.0,0.097,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Black SN750 Rev2,409.0,2000.0,0.204,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Seagate IronWolf Pro,0.0,2000.0,0.0,7200,128.0,3.5,SATA 6.0 Gb/s
Seagate SV35.5,0.0,2000.0,0.0,7200,64.0,3.5,SATA 6.0 Gb/s
Seagate Constellation ES.3,0.0,2000.0,0.0,7200,128.0,3.5,SATA 6.0 Gb/s
Kingston DC500M,784.47,3840.0,0.204,SSD,0.0,2.5,SATA 6.0 Gb/s
GOODRAM PX700,0.0,4096.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Caviar Green,0.0,1000.0,0.0,5400,64.0,3.5,SATA 3.0 Gb/s
Western Digital Scorpio Blue,89.0,80.0,1.113,5400,8.0,2.5,SATA 1.5 Gb/s
Hitachi 7K1000.C,118.18,500.0,0.236,7200,16.0,3.5,SATA 3.0 Gb/s
Samsung 830,0.0,128.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
Hitachi Travelstar 5K1000,0.0,1000.0,0.0,5400,8.0,2.5,SATA 6.0 Gb/s
Crucial M500,0.0,120.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
Hitachi Ultrastar 7K3000,157.79,3000.0,0.053,7200,64.0,3.5,SAS 6.0 Gb/s
Seagate ST3000DM002,0.0,3000.0,0.0,7200,64.0,3.5,SATA 6.0 Gb/s
SK Hynix SL308,0.0,500.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
Kingston SSDNow UV400,0.0,480.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
Western Digital Green,0.0,240.0,0.0,SSD,0.0,M.2-2280,M.2 SATA
Hitachi Ultrastar He10,0.0,10000.0,0.0,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate ST500VT000,0.0,500.0,0.0,5400,16.0,2.5,SATA 3.0 Gb/s
Seagate Enterprise Capacity,110.35,4000.0,0.028,7200,128.0,3.5,SATA 6.0 Gb/s
TEAMGROUP GX1,73.98,480.0,0.154,SSD,0.0,2.5,SATA 6.0 Gb/s
Integral UltimaPro X2,0.0,480.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Apacer AS340 PANTHER,29.44,120.0,0.245,SSD,0.0,2.5,SATA 6.0 Gb/s
Seagate FireCuda 510,388.42,2000.0,0.194,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
HP S700,42.41,250.0,0.17,SSD,0.0,2.5,SATA 6.0 Gb/s
Leven JPS850,0.0,1000.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital PC SN740 Opal,0.0,512.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP600 CORE MINI,79.98,1000.0,0.08,SSD,0.0,M.2-2230,M.2 PCIe 4.0 X4
Intel DC P4510,172.49,2000.0,0.086,SSD,0.0,2.5,U.2
Patriot P400 Lite,233.99,4000.0,0.058,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate IronWolf 525,467.03,2000.0,0.234,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Transcend 250H,433.99,4000.0,0.108,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD_BLACK SN770M,77.98,500.0,0.156,SSD,0.0,M.2-2230,M.2 PCIe 4.0 X4
Western Digital RE,102.95,3000.0,0.034,7200,64.0,3.5,SATA 6.0 Gb/s
Inland Premium,280.0,4000.0,0.07,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
FanXiang S770,289.99,4000.0,0.072,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-Force Cardea Zero Z340,261.99,1000.0,0.262,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Seagate BarraCuda,231.58,3000.0,0.077,5400,128.0,2.5,SATA 6.0 Gb/s
Transcend SSD230S,39.99,256.0,0.156,SSD,0.0,2.5,SATA 6.0 Gb/s
TEAMGROUP CX1,31.99,480.0,0.067,SSD,0.0,2.5,SATA 6.0 Gb/s
Samsung PM893,187.75,960.0,0.196,SSD,0.0,2.5,SATA 6.0 Gb/s
Lexar Professional NM800PRO w/Heatsink,169.99,2000.0,0.085,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Transcend 250S,356.09,4000.0,0.089,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Caviar Green,63.44,1000.0,0.063,5400,32.0,3.5,SATA 3.0 Gb/s
Sabrent Rocket,0.0,2000.0,0.0,SSD,0.0,M.2-2242,M.2 PCIe 3.0 X4
Addlink S70,0.0,2000.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Addlink S20,64.98,1000.0,0.065,SSD,0.0,2.5,SATA 6.0 Gb/s
Crucial M500,495.0,960.0,0.516,SSD,0.0,2.5,SATA 6.0 Gb/s
Crucial MX300,0.0,525.0,0.0,SSD,0.0,M.2-2280,M.2 SATA
Seagate SkyHawk,143.0,6000.0,0.024,5900,256.0,3.5,SATA 6.0 Gb/s
Sabrent Rocket Q4,0.0,2000.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Toshiba X300 Pro,241.99,10000.0,0.024,7200,512.0,3.5,SATA 6.0 Gb/s
Toshiba N300,318.23,12000.0,0.027,7200,0.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda,0.0,2000.0,0.0,7200,64.0,3.5,SATA 6.0 Gb/s
Samsung 840,0.0,250.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
Hitachi Travelstar 7K1000,0.0,1000.0,0.0,7200,32.0,2.5,SATA 6.0 Gb/s
Seagate Archive,0.0,8000.0,0.0,5900,128.0,3.5,SATA 6.0 Gb/s
Samsung 750 EVO,0.0,120.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
Kingston SSDNow KC400,74.98,128.0,0.586,SSD,0.0,2.5,SATA 6.0 Gb/s
Western Digital Blue,0.0,500.0,0.0,SSD,0.0,M.2-2280,M.2 SATA
Kingston A1000,0.0,480.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Inland 2TB NVME PREMIUM,0.0,2000.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Seagate FireCuda 120,0.0,4000.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
Apacer AS340 PANTHER,0.0,480.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
Western Digital Black SN750 Rev2,0.0,1000.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Gigabyte GP-GSM2NE3128GNTD,0.0,128.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital PC SN740 Opal,0.0,256.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Toshiba MG09 512e,299.99,16000.0,0.019,7200,512.0,3.5,SATA 6.0 Gb/s
Timetec 35TTQNM2SATA,62.55,1000.0,0.063,SSD,0.0,M.2-2280,M.2 SATA
PNY XLR8 CS3040,329.99,2000.0,0.165,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Lexar NQ100,69.0,960.0,0.072,SSD,0.0,2.5,SATA 6.0 Gb/s
Addlink A93 PS5,248.44,4000.0,0.062,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power Slim S55,26.21,240.0,0.109,SSD,0.0,2.5,SATA 6.0 Gb/s
Patriot Viper VPN110,177.93,2000.0,0.089,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Addlink S90 Lite,77.44,1000.0,0.077,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WDBMMA0030HNC-NRSN,64.98,3000.0,0.022,5400,64.0,3.5,SATA 6.0 Gb/s
ADATA XPG SX8100,499.99,4000.0,0.125,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Lenovo S4520,400.92,960.0,0.418,SSD,0.0,3.5,SATA 6.0 Gb/s
Lexar NS100,129.99,2000.0,0.065,SSD,0.0,2.5,SATA 6.0 Gb/s
Integral M2,0.0,500.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Intel 320,73.0,40.0,1.825,SSD,0.0,2.5,SATA 3.0 Gb/s
Sabrent Rocket Q4,249.99,2000.0,0.125,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Toshiba S300,97.99,2000.0,0.049,5400,128.0,3.5,SATA 6.0 Gb/s
Fantom Drives VENOM8,299.95,4000.0,0.075,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Transcend MTE245S,109.99,1000.0,0.11,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital VelociRaptor,235.62,600.0,0.393,10000,32.0,3.5,SATA 6.0 Gb/s
Seagate Pipeline HD,0.0,320.0,0.0,5900,8.0,3.5,SATA 3.0 Gb/s
Western Digital Green,215.0,6000.0,0.036,5400,64.0,3.5,SATA 6.0 Gb/s
Intel DC S3610,365.0,800.0,0.456,SSD,0.0,2.5,SATA 6.0 Gb/s
Western Digital Purple,249.99,8000.0,0.031,7200,256.0,3.5,SATA 6.0 Gb/s
TEAMGROUP MP33,0.0,128.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Lexar NM760,0.0,512.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Patriot Viper VP4300 Lite,46.99,500.0,0.094,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Gigabyte Gen3 2500E,292.98,2000.0,0.146,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital RE3,24.99,250.0,0.1,7200,16.0,3.5,SATA 3.0 Gb/s
Kingston SSDNow V100,0.0,256.0,0.0,SSD,0.0,2.5,SATA 3.0 Gb/s
Intel 530,86.17,120.0,0.718,SSD,0.0,2.5,SATA 6.0 Gb/s
AMD RADEON-R7SSD-120G,0.0,120.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
Seagate Barracuda ES,58.4,750.0,0.078,7200,16.0,3.5,SATA 6.0 Gb/s
Seagate SkyHawk,134.99,4000.0,0.034,5900,64.0,3.5,SATA 6.0 Gb/s
Samsung 860 Evo,0.0,2000.0,0.0,SSD,2048.0,M.2-2280,M.2 SATA
Gigabyte GP-GSM2NE8128GNTD,0.0,128.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X2
ADATA XPG GAMMIX S5,0.0,1000.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Hitachi HDN724040ALE640,109.33,4000.0,0.027,7200,0.0,3.5,SATA 6.0 Gb/s
SanDisk X400,0.0,256.0,0.0,SSD,0.0,M.2-2280,M.2 SATA
Kingston UV500,0.0,1920.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
Inland Premium,0.0,256.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP400,0.0,2000.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Seagate IronWolf Pro 125,0.0,3840.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
Kingston DC1000B,77.45,240.0,0.323,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
KingSpec NE-2280,0.0,256.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
KingSpec P3,0.0,256.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
Seagate SkyHawk Surveillance,0.0,4000.0,0.0,5000,256.0,3.5,SATA 6.0 Gb/s
ADATA LEGEND 900,0.0,512.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Transcend SSD230S,171.08,2000.0,0.086,SSD,0.0,2.5,SATA 6.0 Gb/s
Acer FA200,0.0,2000.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power Slim S55,26.53,240.0,0.111,SSD,0.0,2.5,SATA 6.0 Gb/s
Toshiba MQ04ABD200,69.88,2000.0,0.035,5400,128.0,2.5,SATA 6.0 Gb/s
Seagate SkyHawk Surveillance +Rescue,72.98,2000.0,0.036,5400,256.0,3.5,SATA 6.0 Gb/s
Lexar Professional NM800PRO w/Heatsink,64.98,512.0,0.127,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate SkyHawk AI,239.99,10000.0,0.024,7200,256.0,3.5,SATA 6.0 Gb/s
Toshiba MG04ACA400N,114.98,4000.0,0.029,7200,128.0,3.5,SATA 6.0 Gb/s
Western Digital Black2,249.99,1000.0,0.25,Unknown,0.0,2.5,SATA 6.0 Gb/s
Intel SSDMCEAW120A401,60.0,120.0,0.5,SSD,0.0,mSATA,mSATA
Transcend TS120GSSD220S,22.58,120.0,0.188,SSD,0.0,2.5,SATA 6.0 Gb/s
PNY XLR8 CS3040,75.0,500.0,0.15,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Red,142.99,1000.0,0.143,5400,16.0,2.5,SATA 6.0 Gb/s
Intel 750,499.0,400.0,1.248,SSD,0.0,PCIe,PCIe x4
Hitachi 0F23663,960.0,6000.0,0.16,7200,128.0,3.5,SATA 6.0 Gb/s
Seagate SkyHawk Surveillance,297.95,10000.0,0.03,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate FireCuda 120,0.0,1000.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
GOODRAM CL100 gen.3,0.0,120.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
Timetec 35TTQNM2SATA,38.66,512.0,0.076,SSD,0.0,M.2-2280,M.2 SATA
Western Digital Caviar Blue,161.53,1000.0,0.162,7200,32.0,3.5,SATA 3.0 Gb/s
Seagate Barracuda LP,129.0,1000.0,0.129,5900,32.0,3.5,SATA 3.0 Gb/s
Crucial M4,0.0,128.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
Crucial M4,0.0,256.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
SanDisk X110,0.0,128.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
ADATA Premier Pro SP600,0.0,256.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
Kingston SSDNow E100,0.0,400.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
Seagate Archive HDD v2,0.0,6000.0,0.0,5900,128.0,3.5,SATA 6.0 Gb/s
Toshiba P300,0.0,2000.0,0.0,7200,64.0,3.5,SATA 6.0 Gb/s
Hitachi Deskstar NAS,0.0,4000.0,0.0,7200,128.0,3.5,SATA 6.0 Gb/s
Inland Professional,0.0,480.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
ADATA SU800,0.0,2000.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
Silicon Power A80,0.0,256.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital SN520,0.0,256.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X2
TEAMGROUP T-Force Vulcan,0.0,500.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
Kingston KC2000,0.0,1000.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Hitachi Ultrastar,50.0,1000.0,0.05,7200,32.0,3.5,SATA 6.0 Gb/s
Corsair MP500,0.0,960.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Green,0.0,480.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
SK Hynix Gold S31 250,0.0,250.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
Gigabyte GP-GSM2NE8512GNTD,0.0,512.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X2
Kingston KC2500,0.0,500.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Apacer AS2280Q4,0.0,2000.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Patriot Viper VPN110,0.0,512.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital easystore,0.0,240.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
ADATA LEGEND 700,0.0,256.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Gigabyte AORUS Gen4 5000E,0.0,2000.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate Barracuda PCIe,0.0,1000.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Klevv CRAS 910 Lite,0.0,1000.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
PNY CS2142,75.98,1000.0,0.076,SSD,0.0,M.2-2230,M.2 PCIe 4.0 X4
Corsair MP600 MINI,89.99,1000.0,0.09,SSD,0.0,M.2-2230,M.2 PCIe 4.0 X4
Toshiba V300,0.0,1000.0,0.0,5700,0.0,3.5,SATA 6.0 Gb/s
Intel D3-S4510,439.99,3840.0,0.115,SSD,0.0,2.5,SATA 6.0 Gb/s
Addlink A95,86.44,1000.0,0.086,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Toshiba N300,199.0,8000.0,0.025,7200,256.0,3.5,SATA 6.0 Gb/s
TEAMGROUP T-Force Delta Max RGB Lite,48.99,512.0,0.096,SSD,0.0,2.5,SATA 6.0 Gb/s
Intel 545s,45.58,256.0,0.178,SSD,0.0,M.2-2280,M.2 SATA
TEAMGROUP GX1,28.0,120.0,0.233,SSD,0.0,2.5,SATA 6.0 Gb/s
Western Digital Black SN750 Rev2,74.98,500.0,0.15,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
NEMIX RAM NEMESIS,89.99,1000.0,0.09,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Toshiba N300 Pro,208.99,8000.0,0.026,7200,256.0,3.5,SATA 6.0 Gb/s
Toshiba P300,169.0,3000.0,0.056,7200,64.0,3.5,SATA 6.0 Gb/s
Intel D3-S4510,79.0,480.0,0.165,SSD,0.0,2.5,SATA 6.0 Gb/s
Hitachi A7K1000-750,37.56,750.0,0.05,7200,32.0,3.5,SATA 3.0 Gb/s
Western Digital RE,0.0,4000.0,0.0,7200,64.0,3.5,SATA 6.0 Gb/s
Intel 600p,189.0,1000.0,0.189,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Micron 1100,279.0,2000.0,0.139,SSD,0.0,2.5,SATA 6.0 Gb/s
Patriot Burst,0.0,960.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
Seagate Exos X14,245.0,10000.0,0.025,7200,256.0,3.5,SATA 6.0 Gb/s
PNY XLR8 CS3040 w/Heatsink,0.0,500.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate IronWolf NAS,229.99,10000.0,0.023,7200,0.0,3.5,SATA 6.0 Gb/s
Toshiba L200,56.98,1000.0,0.057,5400,128.0,2.5,SATA 6.0 Gb/s
Intel Optane DC P4801X,0.0,100.0,0.0,SSD,0.0,M.2-22110,M.2 PCIe 3.0 X4
Intel 520,280.4,120.0,2.337,SSD,0.0,2.5,SATA 6.0 Gb/s
Intel DC P3700,348.0,800.0,0.435,SSD,0.0,2.5,U.2
Western Digital Blue,0.0,1000.0,0.0,SSD,0.0,M.2-2280,M.2 SATA
Seagate SkyHawk AI,425.95,14000.0,0.03,7200,256.0,3.5,SATA 6.0 Gb/s
Intenso High Performance,40.47,480.0,0.084,SSD,0.0,2.5,SATA 6.0 Gb/s
TEAMGROUP T-Force Cardea Zero Z330,0.0,2000.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Inland TN325,94.99,1000.0,0.095,SSD,0.0,M.2-2242,M.2 PCIe 3.0 X4
Hitachi 7K2000,0.0,2000.0,0.0,7200,32.0,3.5,SATA 3.0 Gb/s
Seagate Barracuda 7200.12,0.0,500.0,0.0,7200,16.0,3.5,SATA 3.0 Gb/s
Samsung 830,0.0,256.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
Seagate BarraCuda,0.0,3000.0,0.0,7200,64.0,3.5,SATA 6.0 Gb/s
Samsung 840,0.0,500.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
Western Digital Purple,0.0,1000.0,0.0,5900,64.0,3.5,SATA 6.0 Gb/s
Kingston Predator,0.0,480.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 2.0 X4
Crucial BX200,0.0,240.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
Kingston SSDNow UV400,0.0,960.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
OCZ RD400A,0.0,1000.0,0.0,SSD,0.0,PCIe,PCIe x4
Crucial MX300,0.0,1050.0,0.0,SSD,0.0,M.2-2280,M.2 SATA
Corsair Force LE,0.0,120.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
Drevo X1,0.0,240.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
Toshiba XG5,0.0,512.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Intel 660p,0.0,1000.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Intel 665p,0.0,2000.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Integral M,0.0,512.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power A58,0.0,2000.0,0.0,SSD,0.0,2.5,SATA 6.0 Gb/s
ADATA ATOM 50,0.0,1000.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP34Q,0.0,8000.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Klevv CRAS C700 RGB,0.0,480.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
