name,price,tracking_method,connection_type,max_dpi,hand_orientation,color
Logitech MX ANYWHERE 2S,99.9,Laser,"Wired, Wireless, Bluetooth Wireless",4000.0,Right,Black
Corsair M75,79.99,Optical,Wired,26000.0,Both,Black
Asus ROG Strix Impact III,39.99,Optical,Wired,12000.0,Right,Black
Logitech MX Ergo,83.28,Optical,Wireless,440.0,Right,Black
Endgame Gear OP1we,99.99,Optical,"Wired, Wireless",19000.0,Right,White
Corsair SCIMITAR PRO RGB,150.0,Optical,Wired,16000.0,Right,Black / Yellow
Logitech G303 SHROUD EDITION,88.2,Optical,Wireless,25000.0,Right,Black
SteelSeries Rival 5 Destiny Edition,89.99,Optical,Wired,18000.0,Right,White / Silver
Logitech M170,11.86,Optical,"Wired, Wireless",1000.0,Both,Black
Microsoft U7Z-00041,21.99,Laser,Wireless,0.0,Both,Purple
SteelSeries Rival 710,99.9,Optical,Wired,16000.0,Right,Black
Logitech LIFT,69.98,Optical,"Wireless, Bluetooth Wireless",4000.0,Right,White
Mad Catz R.A.T. Pro X3,146.66,Optical,Wired,16000.0,Right,Black
Logitech MX Master 3,146.9,Laser,Wireless,4000.0,Right,Black
Asus ROG Keris Wireless EVA Edition,0.0,Optical,Wired,0.0,Both,Black / Purple
Logitech Signature M650 L,38.9,Optical,"Wired, Wireless, Bluetooth Wireless",4000.0,Right,Black
Razer Atheris,0.0,Optical,Wireless,7200.0,Right,White
Razer Atheris,0.0,Optical,Wireless,7200.0,Right,Black
ROCCAT Burst Pro,24.99,Optical,Wired,16000.0,Right,White
Corsair SCIMITAR PRO RGB,59.99,Optical,Wired,16000.0,Right,Black / Gray
Logitech Optical USB Mouse,10.98,Optical,Wired,800.0,Both,Black
Glorious MODEL O GLOSSY,75.67,Optical,Wired,12000.0,Right,White
Endgame Gear XM1r,59.99,Optical,Wired,19000.0,Right,White / Gold
Razer DeathAdder V2 - Halo Infinite,85.0,Optical,Wired,20000.0,Right,Green / Black
Logitech M170,12.99,Optical,"Wired, Wireless",1000.0,Both,Pink
Razer ABYSSUS,0.0,Optical,Wired,3500.0,Both,Black
Targus AMW50US,23.2,Optical,Wireless,800.0,Both,Black / Gray
Logitech MX518,0.0,Optical,Wired,1800.0,Right,Black / Silver
Razer Mamba,0.0,Laser,Wireless,16000.0,Right,Black
Zowie EC2-A,0.0,Optical,Wired,3200.0,Right,Black
HAVIT HV-MS735,0.0,Optical,Wired,12000.0,Right,Black
HP HyperX Pulsefire Dart,0.0,Optical,Wireless,16000.0,Right,Black
HP x3000,11.8,Optical,"Wired, Wireless",1600.0,Both,Black
Logitech M500S,27.99,Optical,Wired,4000.0,Right,Black / Silver
Logitech G Pro League of Legends,118.99,Optical,"Wired, Wireless",25600.0,Both,Black / Gold
Razer Basilisk,105.74,Optical,Wired,16000.0,Right,Black / Green
ROCCAT Kain 120 Aimo RGB,93.0,Optical,Wired,16000.0,Right,Black
A4Tech Bloody V7,34.99,Optical,Wired,3200.0,Both,Black / Red
GameMax Tornado,0.0,Optical,Wired,2000.0,Right,Black
Thermaltake Level 20 RGB,69.98,Optical,Wired,16000.0,Both,Black
EVGA X12,42.19,Optical,Wired,16000.0,Both,Black
Logitech M570,0.0,Trackball,Wireless,0.0,Right,Black
Razer Naga 2014 Left-Handed Edition,0.0,Laser,Wired,8200.0,Left,Black
SteelSeries 62250,0.0,Laser,Wireless,5670.0,Both,Black / Silver
A4Tech Bloody AL90,59.99,Laser,Wired,0.0,Right,Black
Asus P705 ROG PUGIO II,0.0,Optical,"Wired, Wireless, Bluetooth Wireless",16000.0,Right,Black
Logitech MX Anywhere 3S,78.93,Laser,"Wired, Wireless, Bluetooth Wireless",8000.0,Right,Gray
NZXT Lift 2 Symm,49.99,Optical,Wired,26000.0,Right,Black
Logitech MX Anywhere 3S,68.98,Laser,"Wired, Wireless, Bluetooth Wireless",8000.0,Right,Black
Pulsar X2V2 Mini,0.0,Optical,"Wired, Wireless, Bluetooth Wireless",26000.0,Right,White
ROCCAT KONE Pure Ultra,42.99,Optical,Wired,16000.0,Right,White
NZXT Lift 2 Starfield,59.99,Optical,Wired,26000.0,Right,White / Blue
A4Tech D-312,12.99,Optical,Wired,1000.0,Both,Black
UtechSmart US-D5700-GM,32.99,Laser,Wired,5700.0,Right,Multicolor
Zowie FK1,0.0,Optical,Wired,2300.0,Both,Black / Yellow
Zalman ZM-M501R,0.0,Optical,Wired,4000.0,Right,Black
SteelSeries Sensei 310,68.9,Optical,Wired,12000.0,Both,Black
Logitech G600 MMO Gaming Mouse,0.0,Laser,Wired,8200.0,Right,White / Black
Corsair M65 RGB,0.0,Laser,Wired,8200.0,Right,Black
Redragon M801P Sniper Pro,0.0,Optical,Wired,16000.0,Right,Black
Pulsar Xlite V2,0.0,Optical,Wireless,20000.0,Right,White
NZXT Lift,0.0,Optical,Wired,16000.0,Right,White / Black
YEYIAN Links 3000,22.99,Optical,Wired,7200.0,Right,White
Razer Pro Click Mini,68.48,Optical,"Wireless, Bluetooth Wireless",12000.0,Right,White / Gray
ADATA XPG ALPHA,33.98,Optical,Wired,16000.0,Right,Black
Corsair SABRE PRO CHAMPION SERIES,54.99,Optical,Wired,18000.0,Right,Black
ROCCAT Burst Core,25.91,Optical,Wired,8500.0,Right,Black
Razer Lancehead Tournament Edition,94.95,Optical,Wired,16000.0,Both,Black / Green
Mad Catz The Authentic R.A.T 8+,99.99,Optical,Wired,16000.0,Right,Black
Asus ROG Chakram Core,0.0,Optical,Wired,16000.0,Right,Black
Cherry MC 1000,14.53,Optical,Wired,1200.0,Both,Gray
Xtrfy M4 RGB,69.98,Optical,"Wired, Wireless",16000.0,Right,White
Dell WM126,12.99,Optical,Wireless,1000.0,Both,Black
Logitech 910-006581,99.99,Laser,"Wired, Wired, Wireless, Bluetooth Wireless",8000.0,Right,Black
Logitech MX Anywhere 3S,78.39,Laser,"Wired, Wireless, Bluetooth Wireless",8000.0,Right,White
Logitech G500,0.0,Laser,Wired,5700.0,Right,Black / Silver
Logitech 910-004021,14.95,Laser,Wireless,0.0,Both,Black
Zowie FK2,0.0,Optical,Wired,3200.0,Both,Black / Yellow
Genius DX 110,12.47,Optical,Wired,1000.0,Both,Black
Razer Lancehead Tournament Edition Mercury,131.21,Optical,Wired,16000.0,Both,White / Gray
Corsair GLAIVE RGB PRO,0.0,Optical,Wired,18000.0,Right,Black
Asus P702 ROG GLADIUS II WIRELESS,0.0,Optical,Wireless,16000.0,Right,Black / Red
Razer Viper Ultimate w/Dock,0.0,Optical,Wireless,20000.0,Both,Yellow / Black
Lamzu Atlantis OG,0.0,Optical,"Wired, Wireless",26000.0,Right,Black
Gigabyte AORUS M6,0.0,Optical,"Wired, Wireless",26000.0,Both,Black
AZIO RM-RCM-L-02,106.4,Optical,"Wired, Wireless, Bluetooth Wireless",3000.0,Both,White / Pink
Logitech M240 Silent,19.99,Optical,Bluetooth Wireless,4000.0,Both,Pink
Pulsar X2A,0.0,Optical,"Wired, Wireless, Bluetooth Wireless",26000.0,Right,White
MSI CLUTCH,29.0,Optical,Wired,6400.0,Right,Black
Cooler Master MM731,53.62,Optical,Wireless,19000.0,Right,White / Gray
Razer Mamba Gears of War 5,57.0,Optical,"Wired, Wireless",16000.0,Right,Gray / Black
Asus ROG Strix Carry,78.31,Optical,"Wired, Wireless, Bluetooth Wireless",7200.0,Right,Black
HP HyperX Pulsefire Haste 2,49.99,Optical,Wired,3200.0,Right,White
Logitech LIFT,69.5,Optical,"Wireless, Bluetooth Wireless",4000.0,Left,Black
DLAND ZELOTES,0.0,Optical,Wired,7200.0,Right,Black
YEYIAN Sabre 1001,15.99,Optical,Wired,3200.0,Right,Black
Lenovo 06P4069,16.95,Optical,Wired,400.0,Both,Black
Logitech G Pro,99.99,Optical,Wired,12000.0,Right,Black
Asus ROG GLADIUS II CORE,49.99,Optical,Wired,6200.0,Right,Black
Xtrfy M4 RGB,65.0,Optical,Wired,16000.0,Right,White
Logitech M240 Silent,19.98,Optical,Bluetooth Wireless,4000.0,Both,White
Razer Naga 2014,0.0,Laser,Wired,8200.0,Right,Black / Green
Razer Diamondback,72.98,Laser,Wired,16000.0,Both,Black
SteelSeries Rival 700,0.0,Optical,Wired,16000.0,Right,Black
Alienware AW558,0.0,Optical,Wired,5000.0,Right,Black / Silver
Verbatim 99768 Commuter,10.95,Optical,Wireless,0.0,Both,White
Targus W575,21.98,Optical,Wireless,1600.0,Both,Black
Xtrfy M4 RGB,57.99,Optical,Wired,16000.0,Right,Black
Glorious MODEL D GLOSSY,39.09,Optical,Wired,12000.0,Right,Black
Asus TUF GAMING M3,35.29,Optical,Wired,7000.0,Right,Unknown
Logitech Signature M650,34.99,Optical,"Wired, Wireless, Bluetooth Wireless",4000.0,Right,Pink
A4Tech D-120,7.99,Optical,Wired,1000.0,Both,Black / Silver
Keychron M3 Mini,0.0,Optical,"Wired, Wireless, Bluetooth Wireless",26000.0,Right,White
ROCCAT Kain 200 Aimo RGB,105.98,Optical,Wireless,16000.0,Right,Black
Razer Mamba Wireless 2018,106.78,Optical,Wireless,16000.0,Right,Black / Green
Pulsar X2H,0.0,Optical,"Wired, Wireless, Bluetooth Wireless",26000.0,Right,White
Razer TRON,200.62,Laser,Wired,5600.0,Unknown,Black
Logitech M705,59.06,Laser,Wireless,1000.0,Right,Black
Cooler Master MM711 Matte White,39.99,Optical,Wired,16000.0,Right,White
Acer Predator Cestus 330,53.79,Optical,Wired,16000.0,Right,Black
HP HyperX Pulsefire Haste,29.99,Optical,Wired,16000.0,Unknown,Black / Red
HP 150,20.99,Optical,"Wired, Wireless",1600.0,Both,Black
Redragon Perdition,0.0,Laser,Wired,16400.0,Right,Black / Red
Cooler Master MM831,69.98,Optical,Wireless,32000.0,Right,Black
Redragon ‎M711-FPS COBRA RGB,0.0,Optical,Wired,24000.0,Right,Black
EVGA X15 MMO Gaming,0.0,Optical,Wired,16000.0,Right,Black
Xtrfy M42 RGB,89.0,Optical,"Wired, Wireless",16000.0,Right,Black
Xtrfy M4 RGB,65.0,Optical,Wired,16000.0,Right,Blue
Logitech G9x,0.0,Laser,Wired,5700.0,Right,Black
Apple MB829LL/A,0.0,Laser,Bluetooth Wireless,0.0,Unknown,White
Adesso HC-3003PS,7.95,Optical,Wired,1000.0,Both,Black
Razer Ouroboros,0.0,Laser,Wireless,8200.0,Both,Black
Logitech M500,0.0,Laser,Wired,1000.0,Right,Black / Silver
Zalman ZM-M600R,0.0,Optical,Wired,4000.0,Both,Black
SHARKOON SHARK Force,0.0,Optical,Wired,1600.0,Right,Black
Corsair M65 PRO RGB FPS (White),0.0,Optical,Wired,12000.0,Right,White
Glorious MODEL O GLOSSY,75.0,Optical,Wired,12000.0,Right,Black
Corsair M55 RGB PRO,0.0,Optical,Wired,12400.0,Both,White / Gray
Logitech M325c Triple Scoop Ice Cream Cone,17.8,Optical,Wireless,1000.0,Both,Red / White
Lenovo Legion M500 RGB,49.99,Optical,Wired,0.0,Right,Black
Xtrfy M42 RGB,69.0,Optical,Unknown,16000.0,Right,White / Red
Pulsar X2V2 Mini,0.0,Optical,"Wired, Wireless, Bluetooth Wireless",26000.0,Right,Black
Pulsar X2H Mini,0.0,Optical,"Wired, Wireless, Bluetooth Wireless",26000.0,Right,White
HP 240,20.22,Optical,Bluetooth Wireless,1600.0,Both,Black
Logitech G Pro Shroud,126.99,Optical,"Wired, Wireless",25600.0,Both,Black / Blue
YEYIAN Sabre 1002,15.99,Optical,Wired,3200.0,Right,Black
Asus ROG Keris,39.99,Optical,Wired,16000.0,Right,Black
Deepcool MC310,0.0,Optical,Wired,12800.0,Right,Black
SteelSeries Rival 500,0.0,Optical,Wired,16000.0,Right,Black
Logitech ERGO M575,49.99,Optical,"Wired, Wireless, Bluetooth Wireless",2000.0,Right,White / Blue
SteelSeries Prime Mini,30.96,Optical,Wired,18000.0,Right,Black
Cherry JM-0300,15.99,Optical,Wired,1000.0,Both,Black
Cobra cobra II,0.0,Optical,Wired,1600.0,Right,Multicolor
Kensington K64325,69.61,Trackball,Wired,0.0,Unknown,Black
Razer DeathAdder,0.0,Optical,Wired,3500.0,Right,Black
Logitech M325,19.99,Optical,Wireless,0.0,Both,Red
Corsair Vengeance M95,0.0,Laser,Wired,8200.0,Right,Black
Corsair Vengeance M65,0.0,Laser,Wired,8200.0,Right,Black
Logitech G500s Laser Gaming Mouse,0.0,Laser,Wired,8200.0,Right,Black / Silver
Redragon M902,0.0,Laser,Wired,16400.0,Right,Black / Red
Asus ROG Gladius II,0.0,Optical,Wired,12000.0,Right,Black
MSI CLUTCH GM50,0.0,Optical,Wired,7200.0,Right,Black
Fellowes Penguin Medium,69.0,Laser,Wired,1200.0,Both,Black / Silver
Endgame Gear XM1 RGB,50.0,Optical,Wired,16000.0,Right,White / Black
Keychron M3,0.0,Optical,"Wired, Wireless, Bluetooth Wireless",26000.0,Right,White
Asus ROG Chakram X,0.0,Optical,"Wired, Wireless, Bluetooth Wireless",36000.0,Right,Black
Deepcool MG350,67.98,Optical,Wired,16000.0,Right,Black / Cyan
Logitech LIFT,69.99,Optical,"Wireless, Bluetooth Wireless",4000.0,Right,Pink
Pulsar X2H,0.0,Optical,"Wired, Wireless, Bluetooth Wireless",26000.0,Right,Black
Pulsar X2H Mini,0.0,Optical,"Wired, Wireless, Bluetooth Wireless",26000.0,Right,Red
ADATA XPG ALPHA,38.98,Optical,"Wired, Wireless, Bluetooth Wireless",16000.0,Right,Black
Logitech M310,14.99,Laser,Wireless,0.0,Both,Silver
Razer Lancehead Tournament Edition,155.08,Optical,Wired,16000.0,Both,Gray
Logitech M325c Himalayan Fern,14.97,Optical,Wireless,1000.0,Both,Silver / Black
Logitech POP Blast,27.49,Optical,"Wireless, Bluetooth Wireless",4000.0,Both,Yellow / Black
Logitech Signature M650 L,39.99,Optical,"Wired, Wireless, Bluetooth Wireless",4000.0,Right,Red / Black
Gigabyte AORUS M3,59.0,Optical,Wired,6400.0,Right,Black
Corsair M75 AIR Launch Edition,149.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000.0,Right,Yellow
Gear Head MP2375BLK,10.0,Optical,Wireless,0.0,Both,Black
Kensington SlimBlade,122.98,Trackball,Wired,0.0,Unknown,Black
Logitech G302 Daedalus Prime Moba,100.88,Optical,Wired,4000.0,Right,Black / Blue
DLAND Zelotes T90,0.0,Optical,Wired,9200.0,Right,Black
Verbatim 99790,8.94,Optical,Wired,0.0,Both,Black
Endgame Gear XM1r,59.99,Optical,Wired,19000.0,Right,Translucent Black / Black
Endgame Gear XM1 RGB,69.98,Optical,Wired,16000.0,Right,Transparent / Black
Logitech Graphite Signature M550 L,30.48,Optical,Bluetooth Wireless,4000.0,Both,Gray
Adesso iMouse X5,27.28,Optical,Wired,6400.0,Right,Black
Logitech M220 Silient,20.48,Optical,"Wired, Wireless",1000.0,Both,Black
Mionix NAOS PRO,69.98,Optical,Wired,19000.0,Right,Black
Corsair M75 AIR,83.27,Optical,"Wired, Wireless, Bluetooth Wireless",26000.0,Right,Gray
Razer Naga,0.0,Laser,Wired,5600.0,Right,Black
HP EY703AA,11.99,Optical,Wired,400.0,Unknown,Black
Belkin F5M010QBLK,9.13,Optical,Wired,800.0,Both,Black
A4Tech XL-747H,0.0,Laser,Wired,3600.0,Both,Black
HP X500,0.0,Optical,Wired,0.0,Both,Black
G.Skill RIPJAWS MX780,0.0,Laser,Wired,8200.0,Both,Black
Corsair Sabre RGB,0.0,Optical,Wired,10000.0,Right,Black
Corsair GLAIVE RGB,54.99,Optical,Wired,16000.0,Right,Black
Alienware AW958,0.0,Optical,Wired,12000.0,Right,Black / Silver
SteelSeries Rival 110,0.0,Optical,Wired,7200.0,Right,Black
Microsoft Sculpt Ergonomic,84.99,Laser,Wireless,0.0,Right,Black / Blue
Trust GXT 101D GAV,0.0,Optical,Wired,4800.0,Right,Green / Black
Rosewill RWM-001,14.99,Optical,Wireless,1200.0,Both,Black
Cooler Master MM710 Matte White,63.27,Optical,Wired,16000.0,Right,White
Zelotes C-18,0.0,Optical,Wired,10000.0,Right,Black
UtechSmart Venus Pro RGB,0.0,Optical,Wireless,16000.0,Right,Black
KLIM Aim,24.97,Optical,Wired,7000.0,Right,Black
Razer DeathAdder V2 Pro - Genshin Impact Edition,0.0,Optical,"Wired, Wireless, Bluetooth Wireless",20000.0,Right,Blue / White
Keychron M1,0.0,Optical,"Wired, Wireless, Bluetooth Wireless",26000.0,Right,White
Logitech M170,12.99,Optical,"Wired, Wireless",1000.0,Both,Blue / Gray
Logitech M190,0.0,Optical,"Wired, Wireless",1000.0,Both,Black / Red
MSI Clutch GM11,0.0,Optical,Wired,5000.0,Right,White
Cougar DUALBLADER,0.0,Optical,Wired,16000.0,Both,Black
Redragon GAINER M610,0.0,Optical,Wired,3200.0,Right,Black / Red
Verbatim 70244,19.45,Laser,Wireless,1600.0,Right,Blue / Black
Logitech M510,33.29,Laser,Wireless,1000.0,Right,Blue
Thermaltake MOTLNWDOTBK01,19.98,Optical,Wired,3200.0,Right,Black / Red
Logitech Lift for Business,58.99,Optical,"Wired, Wireless, Bluetooth Wireless",4000.0,Right,Black
Mad Catz R.A.T. Air,0.0,Optical,"Wired, Wireless",12000.0,Right,Black
YEYIAN Claymore 2000,39.99,Optical,Wired,12000.0,Right,Black
Logitech M325,21.39,Optical,Wireless,0.0,Both,Blue
Logitech G400s,89.99,Optical,Wired,4000.0,Right,Black
Verbatim 99767 Commuter,11.95,Optical,Wireless,0.0,Both,Red / Black
HP Pavilion 300,9.99,Optical,Wired,5000.0,Both,Black / Green
Cooler Master MM711 Wilderness Limited Edition,28.95,Optical,Wired,16000.0,Right,Green
Asus P705 ROG PUGIO II,0.0,Optical,Wireless,16000.0,Right,Black
Gigabyte AORUS M4,39.99,Optical,Wired,6400.0,Both,Black
Razer Orochi V2 Strike,74.98,Optical,Wireless,18000.0,Right,Black / Gray
ninjutso Origin One X,0.0,Optical,"Wired, Wireless",3200.0,Right,White / Black
Logitech Lift for Business,69.98,Optical,"Wired, Wireless, Bluetooth Wireless",4000.0,Left,Black
Sabrent MS-WRCH,13.58,Optical,Wireless,1600.0,Right,Black
Adesso HC-3003US,10.87,Optical,Wired,1000.0,Both,Black
Genius NX-7000,0.0,Laser,Wireless,1200.0,Both,Black / Red
SteelSeries Rival 300,0.0,Optical,Wired,6500.0,Right,Black
Adesso iMouse S60R,14.29,Optical,Wireless,1600.0,Right,Red / Black
Adesso iMouse M6,9.52,Optical,Wired,1000.0,Both,Black
Xtrfy M42 RGB,89.99,Optical,"Wired, Wireless",16000.0,Right,White
Xtrfy M42 RGB,65.0,Optical,Unknown,16000.0,Right,White
Zowie ZA13-C,0.0,Optical,Wired,3200.0,Right,Black
Pulsar X2V2,0.0,Optical,"Wired, Wireless, Bluetooth Wireless",26000.0,Right,White
Acer Predator Cestus 335 PMW120,78.98,Optical,Wired,19000.0,Right,Black
Razer Naga Epic,0.0,Laser,Wireless,5600.0,Unknown,Black
Logitech Performance,0.0,Laser,Wireless,0.0,Right,Black
Microsoft 4YH-00001,28.99,Optical,Wired,0.0,Unknown,Black
Kensington K72370US,29.99,Optical,Wireless,0.0,Unknown,Black
Kensington 64325,62.33,Trackball,Wired,0.0,Both,Black
Ergoguys CST Kidtrack,0.0,Trackball,Wired,0.0,Both,White
Kensington K72352US,49.99,Trackball,Wireless,0.0,Both,Black
Razer Taipan,0.0,Laser,Wired,8200.0,Both,Black
IBM 40K9200,0.0,Optical,Wired,0.0,Both,Black / Red
Logitech T400,0.0,Optical,Wireless,0.0,Both,Black
Mionix NAOS 8200,0.0,Laser,Wired,8200.0,Right,Black
Cooler Master CM Storm Havoc,0.0,Laser,Wired,8200.0,Right,Black / Red
Logitech V470,166.89,Laser,Bluetooth Wireless,0.0,Both,White
HP QY775AA,12.09,Optical,Wired,800.0,Both,Black
Corsair Vengeance M65,0.0,Laser,Wired,8200.0,Right,White
Ergoguys Onyx,0.0,Optical,Wired,400.0,Right,Blue / White
Cherry JW-T0100,25.21,Laser,Wireless,1750.0,Both,Black
Asus ROG Gladius,0.0,Optical,Wired,6400.0,Right,Black / Red
Mad Catz R.A.T. PRO S,0.0,Optical,Wired,5000.0,Right,Black / Green
UtechSmart Uranus,0.0,Laser,Wired,16400.0,Right,Black
Zowie EC1-A,0.0,Optical,Wired,3200.0,Right,Black
Logitech G102 Prodigy,0.0,Optical,Wired,6000.0,Right,Black
Logitech G203 PRODIGY,0.0,Optical,Wired,6000.0,Right,White
Trust GXT 25,0.0,Optical,Wired,1600.0,Right,Black / Red
Zowie EC2-B,0.0,Optical,Wired,3200.0,Right,Black / Red
Razer Basilisk Essential,71.0,Optical,Wired,6400.0,Right,Black
Logitech M325c Bae-Bee-Blue,18.98,Optical,Wireless,1000.0,Both,Blue / White
Adesso iMouse S50,11.74,Optical,Wireless,1200.0,Both,Black
Trust GXT 117 Strike,0.0,Optical,Wireless,1400.0,Both,Black
Trust GXT 101D GAV,0.0,Optical,Wired,4800.0,Right,Camo
V7 MU200-1N,0.0,Optical,Wired,1600.0,Both,Black
Verbatim 99781 Commuter,9.99,Optical,Wireless,0.0,Both,Purple
HP OMEN Reactor,55.32,Optical,Wired,16000.0,Right,Black / Red
HP Pulsefire Dart,0.0,Optical,Wireless,16000.0,Right,Black
Microsoft Pro Intellimouse,0.0,Optical,Wired,16000.0,Right,Black / Gray
Gigabyte AORUS M2,0.0,Optical,Wired,6200.0,Both,Black
ninjutso Origin One X,0.0,Optical,"Wired, Wireless",3200.0,Right,Black / White
Pulsar X2 Mini,0.0,Optical,"Wired, Wireless",26000.0,Right,White
Keychron M1,0.0,Optical,"Wired, Wireless, Bluetooth Wireless",26000.0,Right,Black
Keychron M3 Mini 4k,0.0,Optical,"Wired, Wireless, Bluetooth Wireless",26000.0,Right,Black
Logitech M187,25.98,Optical,"Wired, Wireless",1000.0,Both,Pink / Teal
Logitech MX Anywhere 3S,77.48,Laser,"Wired, Wireless, Bluetooth Wireless",8000.0,Right,Pink
Evoluent VM4L,89.95,Laser,Wired,0.0,Left,Silver / Black
Logitech M330 SILENT PLUS,19.99,Optical,Wireless,1000.0,Right,Gray / Yellow
Mad Catz The Authentic R.A.T. 1+,22.83,Optical,Wired,2000.0,Both,Black
Logitech PEBBLE M350,18.98,Optical,Bluetooth Wireless,1000.0,Both,Pink
Logitech Rechargeable Trackpad for Mac,127.39,Touchpad,Bluetooth Wireless,0.0,Both,Silver
Verbatim 98113,8.99,Optical,Wired,0.0,Both,Black
ROCCAT Kain 202 Aimo RGB,99.99,Optical,Wireless,16000.0,Right,White
SteelSeries Rival 300 CS:GO Hyper Beast Edition,156.17,Optical,Wired,6500.0,Right,Orange / Black
Endgame Gear XM1 RGB,49.0,Optical,Wired,16000.0,Right,Translucent Black / Black
Cooler Master MM712,53.97,Optical,Wired,19000.0,Right,White
Logitech Signature M650 L,39.99,Optical,"Wired, Wireless, Bluetooth Wireless",4000.0,Right,White
Verbatim Easy Riser,12.99,Laser,Wireless,0.0,Both,Silver
Logitech Wireless Mouse M525,31.5,Optical,Wireless,0.0,Both,Red / Black
Logitech M325,19.7,Optical,Wireless,1000.0,Both,Silver
Razer Taipan,146.47,Laser,Wired,8200.0,Both,Black / White
Logitech M320,33.42,Optical,Wireless,1000.0,Right,Silver
Kensington Pro Fit Wired Mid-Size Mouse USB,23.99,Laser,Wired,0.0,Right,Black
Kensington Pro Fit Full-Size Mouse,28.34,Optical,Wired,2400.0,Right,Black
Logitech M185,13.9,Optical,Wireless,0.0,Both,Gray
SteelSeries Rival 100,29.99,Optical,Wired,4000.0,Right,Red
Adesso iMouse E10,39.99,Optical,Wireless,1600.0,Right,Black
Microsoft Arc,83.95,Optical,"Wired, Bluetooth Wireless",1000.0,Both,Pink
Logitech M590,69.79,Optical,"Wireless, Bluetooth Wireless",1000.0,Right,Black
HP 435,39.99,Optical,"Wired, Wireless, Bluetooth Wireless",4000.0,Right,Black
HP OMEN Vector,44.99,Optical,Wired,16000.0,Right,Black
Kensington SureTrack,19.98,Optical,"Wired, Wireless, Bluetooth Wireless",4000.0,Both,Blue
Logitech PEBBLE M350,17.98,Optical,"Wired, Wireless, Bluetooth Wireless",1000.0,Both,White
Logitech M190,0.0,Optical,"Wired, Wireless",1000.0,Both,Black / Blue
Logitech 910005869,49.99,Optical,"Wired, Wireless, Bluetooth Wireless",2000.0,Right,Black
Sabrent MS-WSML,11.99,Optical,Wireless,1200.0,Right,Black
MSI Clutch GM31 Lightweight,69.99,Optical,Wired,12000.0,Right,Black
Razer Naga Molten,0.0,Laser,Wired,5600.0,Unknown,Black
Razer Lachesis,0.0,Laser,Wired,5600.0,Right,Black
Microsoft Basic,0.0,Optical,Wired,0.0,Both,Black
Logitech M310,14.99,Laser,Wireless,0.0,Both,Blue
Microsoft Comfort Mouse 4500 for Business,42.99,Optical,Wired,1000.0,Both,Black
Kensington K72369US,21.72,Optical,Wired,0.0,Unknown,Black
Microsoft 4FD-00014,0.0,Optical,Wired,0.0,Both,Pink
Linkworld LM5035-PS2-c228,0.0,Optical,Wired,800.0,Both,Black / Silver
Logitech M325,0.0,Optical,Wireless,0.0,Both,Black
Dell 468-7409 Mouse,0.0,Optical,Wired,0.0,Both,Black
A4Tech F3,0.0,Laser,Wired,3200.0,Both,Black
A4Tech XL-750BK,0.0,Laser,Wired,3600.0,Both,Black
SteelSeries Diablo III,0.0,Laser,Wired,5700.0,Both,Black
A4Tech G10-810H,35.81,Optical,Wireless,2000.0,Right,Black
Corsair Vengeance M95,0.0,Laser,Wired,8200.0,Right,White
Mad Catz R.A.T. 3,0.0,Optical,Wired,3500.0,Right,Black / Red
Kensington 72327,0.0,Trackball,Wired,0.0,Both,Black / Red
Kensington 72339,0.0,Optical,Wired,0.0,Both,Black
SteelSeries Sensei RAW,0.0,Laser,Wired,5700.0,Both,Black
Verbatim Wireless Multi-Trac Blue LED Optical Mouse,13.99,Optical,Wireless,0.0,Right,Black
SteelSeries World of Warcraft Wireless MMO Gaming Mouse,0.0,Optical,Wireless,8200.0,Right,Black / Gray
Logitech RX250,0.0,Optical,Wired,1000.0,Both,Black
Perixx PERIMICE-201P B,9.99,Optical,Wired,800.0,Both,Black / Silver
Mionix NAOS 7000,0.0,Optical,Wired,7000.0,Right,Black / Blue
Mad Catz MCB437040002/04/1,0.0,Laser,Wired,8200.0,Right,Black / Blue
Microsoft U7Z-00021,19.98,Laser,Wireless,0.0,Both,Pink
EVGA TORQ X10 Carbon,0.0,Laser,Wired,8200.0,Both,Black / Red
Logitech M310,20.48,Laser,Wireless,0.0,Both,Black / Blue
Thermaltake TALON,0.0,Optical,Wired,3000.0,Right,Multicolor
Mad Catz M.M.O. TE,0.0,Laser,Wired,8200.0,Right,Black / Blue
Logitech M320,44.73,Optical,Wireless,1000.0,Both,Red
Razer Naga Epic Chroma,0.0,Laser,Wireless,8200.0,Right,Multicolor
Aula Killing Soul SI-928,20.98,Optical,Wired,2000.0,Right,Black
Genius NX-7000,0.0,Laser,Wireless,1200.0,Both,Blue / White
Corsair M65 RGB,0.0,Laser,Wired,8200.0,Right,Black / White
Corsair KATAR,0.0,Optical,Wired,8000.0,Both,Black / Red
Kensington K74531WW,9.99,Optical,Wired,0.0,Both,White
MSI INTERCEPTOR DS200,0.0,Laser,Wired,16400.0,Right,Black / Red
Genius Ammox X1 400,0.0,Optical,Wired,3200.0,Both,Black / Red
Speedlink DECUS,0.0,Optical,Wired,5000.0,Right,Black / Red
Asus ROG Pugio,0.0,Optical,Wired,7200.0,Both,Black
Logitech MX MASTER 2S (Blue),0.0,Laser,Wireless,4000.0,Right,Blue
Logitech G703 (White),0.0,Optical,Wireless,12000.0,Right,White
Swiftpoint Z Gaming,0.0,Optical,Wired,12000.0,Right,Black
